max1,min1,mean1,std1,1st quart1,median1,3rd quart1,max2,min2,mean2,std2,1st quart2,median2,3rd quart2,max3,min3,mean3,std3,1st quart3,median3,3rd quart3,max4,min4,mean4,std4,1st quart4,median4,3rd quart4,max5,min5,mean5,std5,1st quart5,median5,3rd quart5,max6,min6,mean6,std6,1st quart6,median6,3rd quart6,train_test,activities
45.0,37.25,40.625,1.477,39.25,40.5,42.0,1.3,0.0,0.359,0.323,0.0,0.43,0.5,29.5,4.0,19.041,4.463,16.0,19.25,23.25,7.23,0.0,0.833,0.966,0.0,0.5,1.12,38.25,27.25,34.311,2.188,33.0,35.0,36.0,1.92,0.0,0.571,0.583,0.0,0.43,1.3,0.0,0.0
45.67,38.0,42.813,1.436,42.0,42.5,43.67,1.22,0.0,0.372,0.289,0.0,0.47,0.5,29.5,2.0,20.097,3.894,19.0,21.0,22.25,5.76,0.0,0.876,1.047,0.0,0.5,1.145,38.5,27.67,33.025,1.995,32.0,33.0,34.5,3.11,0.0,0.571,0.601,0.0,0.43,1.3,0.0,0.0
47.4,35.0,43.954,1.559,43.0,44.33,45.0,1.7,0.0,0.426,0.339,0.0,0.47,0.5,29.75,6.5,22.122,3.031,19.75,23.0,24.0,4.44,0.0,0.497,0.551,0.0,0.43,0.83,38.5,29.0,35.588,2.0,35.362,36.0,36.5,1.79,0.0,0.493,0.514,0.0,0.43,0.94,1.0,0.0
47.75,33.0,42.18,3.671,39.15,43.5,45.0,3.0,0.0,0.696,0.631,0.0,0.5,1.12,30.0,8.5,22.184,3.81,20.5,23.0,24.372,5.15,0.0,0.99,0.954,0.43,0.83,1.3,38.67,20.0,33.494,3.849,30.458,35.0,36.33,2.18,0.0,0.614,0.524,0.0,0.5,1.0,1.0,0.0
45.75,33.0,41.678,2.243,41.33,41.75,42.75,2.83,0.0,0.536,0.405,0.43,0.5,0.71,28.25,3.0,19.007,4.087,16.5,19.125,22.062,6.42,0.0,0.842,0.929,0.43,0.5,1.12,37.5,23.67,29.857,2.411,28.458,30.0,31.25,1.79,0.0,0.383,0.389,0.0,0.43,0.5,1.0,0.0
48.0,37.0,43.455,1.386,42.5,43.25,45.0,1.58,0.0,0.378,0.316,0.0,0.47,0.5,27.0,5.75,15.793,3.848,13.0,15.0,18.27,10.03,0.0,0.849,0.996,0.43,0.5,1.12,33.5,8.0,23.035,2.489,22.25,23.5,24.0,5.26,0.0,0.68,0.623,0.43,0.5,0.87,1.0,0.0
48.0,36.25,43.969,1.618,43.31,44.5,44.67,1.5,0.0,0.413,0.263,0.43,0.47,0.5,26.33,1.5,15.868,3.742,14.25,16.25,18.0,5.17,0.0,0.666,0.789,0.0,0.47,0.94,30.75,11.33,22.104,3.318,20.5,21.67,23.75,2.96,0.0,0.555,0.488,0.0,0.49,0.83,1.0,0.0
51.0,12.75,24.563,3.738,23.188,24.25,26.5,6.87,0.0,0.591,0.837,0.0,0.43,0.71,25.33,0.0,19.121,4.3,18.0,20.25,22.0,6.76,0.0,0.737,0.927,0.0,0.47,0.87,30.0,10.67,23.493,3.694,20.5,23.75,27.0,4.97,0.0,0.7,0.694,0.43,0.5,0.87,0.0,1.0
42.75,0.0,27.465,3.584,25.5,28.0,30.0,7.76,0.0,0.45,0.767,0.0,0.43,0.5,35.0,7.5,20.843,3.826,18.0,20.75,22.5,5.76,0.0,0.78,0.904,0.0,0.5,0.94,33.0,0.0,17.618,5.054,15.0,18.0,20.75,6.76,0.0,1.122,1.012,0.47,0.83,1.3,0.0,1.0
50.0,21.0,32.586,6.238,26.188,33.0,34.5,9.9,0.0,0.516,0.79,0.0,0.43,0.822,28.25,0.0,13.942,5.883,10.0,14.25,18.0,7.4,0.0,0.869,1.027,0.43,0.5,1.12,33.75,5.0,20.346,5.032,17.67,19.585,23.5,13.61,0.0,1.162,1.333,0.47,0.83,1.3,1.0,1.0
33.0,27.5,29.882,1.154,29.0,30.0,30.27,1.0,0.0,0.256,0.276,0.0,0.0,0.47,14.5,0.0,8.166,3.404,5.5,8.75,11.25,4.44,0.0,0.545,0.644,0.0,0.47,0.71,23.25,11.0,18.118,1.746,17.0,18.0,19.0,6.4,0.0,0.702,0.481,0.47,0.71,0.94,1.0,1.0
45.5,19.0,30.938,7.684,26.75,29.0,38.0,6.4,0.0,0.467,0.734,0.0,0.43,0.5,32.75,0.0,14.59,7.639,9.688,15.75,20.69,11.42,0.0,0.778,1.014,0.0,0.47,1.12,36.0,1.67,18.389,5.846,15.0,17.5,20.812,6.73,0.0,1.107,1.081,0.47,0.83,1.3,1.0,1.0
